PrintedFor	PrintedBy	Ignored	Original	count
printed by J. Beliot	NA	NA	printed by J. Beliot	1
printed by John Busteed, in Castle-Street, near the Exchange, where advertisements, subscriptions, essays, &c. are taken in for this paper, ...	NA	NA	printed by John Busteed, in Castle-Street, near the excange, where advertisements, subscriptions, essays, &c. are taken in for this paper, ..	1
printed W. Sargent, and Comp. opposite Paul's church	NA	NA	printed W. Sargent, and Comp. opposite Paul's church	1
printed for John Norman, no. 49, Essex Street opposite the Custom House	NA	NA	printed for John Norman, no. 49, Essex Street opposite the Custom House	1
printed by Alex. M'Culloh, in Skinner-Row]	NA	NA	printed by Alex. M'Culloh, in Skinner-Row	1
printed and sold by Manuel Cantopher, at the Honourable the Company's printing-office; and sold at London by P. Elmsly	NA	NA	printed by Manuel Cantopher, at the Honourable the Company's printing-office; and sold at London by P. Elmsly	1
printed by T[homas]. Brangan, at the D. of Morlbo[r]ough's Head in Key-Lane	NA	NA	printed by Thomas. Brangan, at the D. of Morlborough's Head in Key-Lane	1
printed for Thomas Simmons, at the Princes Arms, and Jacob Sampson, next the Wonder Tavern, in Ludgate-street	NA	NA	printed for Thomas Simmons, at the Princes Arms, and Jacob Sampson, next the Wonder Tavern, in Ludgate-street	1
Sold by E. Collins, printer, Clonmell; where advertisements and letters of intelligence are taken in: ...	NA	NA	Sold by E. Collins, printed, Clonmell; where advertisements and letters of intelligence are taken in: ..	1
printed by Richard Morton, in the Back-Street	NA	NA	printed by Richard Morton, in the Back-Street	1
printed by John and Robert Baldwin, at their printing-office in Marlborough-Street, ... Directions will be taken in (for the present) by Matthew Bagnell, watch-maker, Grand Parade	NA	NA	printed by John and Robert Baldwin, at their printing-office in Marlborough-Street, ... printedons will be taken in (for the present) by Matthew Bagnell, watch-maker, Grand Parade	1
sold by Dillon Chamberlaine, in Smock-Alley. Letters to the author will be received; and by Peter Wilson, in Dame-Street	NA	NA	sold by Dillon Chamberlaine, in Smock-Alley. Letters to the author will be received; and by Peter Wilson, in Dame-Street	1
printed : and sold by J. Baker, at the Black Boy in Pater-Noster-Row. Where advertisements are taken in	NA	NA	printed by J. Baker, at the Black Boy in Pater-Noster-Row. Where advertisements are taken in	1
printed for John Dunton, and John Harris	NA	NA	printed for John Dunton, and John Harris	1
Printed by John Northall, New Market-street, Sheffield	NA	NA	Printed by John Northall, New Market-street, Sheffield	1
Advertisements, &c. for this paper are taken in by the publisher, W. Ward, in Sheffield; at the Chapeter Coffee-House, and by Mr. Tayler, Warwick-Court, London: ...	NA	NA	Advertisements, &c. for this paper are taken in by the publisher, W. Ward, in Sheffield; at the Chapeter Coffee-House, and by Mr. Tayler, Warwick-Court, London: ..	1
printed by William Ward, by whom advertisements are taken in.	NA	NA	printed by William Ward, by whom advertisements are taken in	1
printed by William Ward, and sold in the towns of Rotherham; Barnsley, Wakefield, Leeds, Halifax, Huthersfield [sic], Settle, Skipton, Pontefract, Thorne, Snaith, Howden, Hull, Barton, Patrington, Haydon, Burlington, Beverley, Doncaster, Tickhill, Blith, Bawtry, Worksop, Chesterfield, Bakewell, Gainsborough, and all the adjacent villages. ...	NA	NA	printed by William Ward, and sold in the towns of Rotherham; Barnsley, Wakefield, Leeds, Halifax, Huthersfield sic, Settle, Skipton, Pontefract, Thorne, Snaith, Howden, Hull, Barton, Patrington, Haydon, Burlington, Beverley, Doncaster, Tickhill, Blith, Bawtry, Worksop, Chesterfield, Bakewell, Gainsborough, and all the adjacent villages. ..	1
printed and sold for William Bradford, at the Corner House in Front and Market-Streets	NA	NA	printed and sold for William Bradford, at the Corner House in Front and Market-Streets	1
Printed by R.G. Clarke, Cannon-Row, Westminster	NA	NA	Printed by R.G. Clarke, Cannon-Row, Westminster	1
printed every Tuesday and Friday, by William Davis	NA	NA	printed every Tuesday and Friday, by William Davis	1
Printed every Tuesday and Friday, by William Davis	NA	NA	Printed every Tuesday and Friday, by William Davis	1
published by Benjamin Titcomb, Jun. Middle-Street	NA	NA	printed by Benjamin Titcomb, Jun. Middle-Street	1
published by Stevenson, Dickson, & Aikman, the corner of Water-Lane and King-street	NA	NA	printed by Stevenson, Dickson, & Aikman, the corner of Water-Lane and King-street	1
Published (weekly) by McKenzie and Westcott, Bridge-Town	NA	NA	printed (weekly) by McKenzie and Westcott, Bridge-Town	1
printed and published at the Anti-Jacobin Office, Peterborough-Court, Fleet-Street, by J. Plymsell, of New-Street-Square, where advertisements and letters for the editor will be received	NA	NA	printed and printed in the Anti-Jacobin Office, Peterborough-Court, Fleet-Street, by J. Plymsell, of New-Street-Square, where advertisements and letters for the editor will be received	1
printed by Collier and Buel	NA	NA	printed by Collier and Buel	1
Printed by Collier and Buel	NA	NA	Printed by Collier and Buel	1
printed by T. Collier]	NA	NA	printed by T. Collier	1
imprime pour Sam. Proctor, demeurant en Mark-Lane, proche Tower-Street, qui les vend a vingt shillings per annum, ou six sols la pece	NA	NA	printed inmeime pour Sam. Proctor, demeurant en Mark-Lane, proche Tower-Street, qui les vend a vingt shillings per annum, ou six sols la pece	1
printed on Monday, Wednesday, and Friday mornings; at the office of P. Freneau, & A. Menut, no. 89 Beekman Street: ...	NA	NA	printed on Monday, Wednesday, and Friday mornings; at the office of P. Freneau, & A. Menut, no. 89 Beekman Street: ..	1
Printed on Mondays, Wednesdays, & Fridays, by P. Freneau & M.L. Davis, no. 26, Moore Street, near Whitehall	NA	NA	Printed on Mondays, Wednesdays, & Fridays, by P. Freneau & M.L. Davis, no. 26, Moore Street, near Whitehall	1
printed, by George Gerrish, two doors south of the Court-House	NA	NA	printed, by George Gerrish, two doors south of the Court-House	1
Diese zeitiung wich alle mittwochen haraus gegeben von Steiner und Cist, buchdruckern, in der Zwenten-strasse, vier hauser oberhalb der Rees-strasse	NA	NA	Diese zeitiung wich alle mittwochen haraus gegeben von Steiner und Cist, buchdruckern, in der Zwenten-strasse, vier hauser oberhalb der Rees-strasse	1
printed and sold by William Bradford, at the sign of the Bible in Second Street, where all persons may be supplyed with this paper, ...	NA	NA	printed by William Bradford, at the sign of the Bible in Second Street, where all persons may be supplyed with this paper, ..	1
printed and published, (every Tuesday morning) by J. Schultz, and J.W. Barber	NA	NA	printed and printed, (every Tuesday morning) by J. Schultz, and J.W. Barber	1
printed, by R[obert]. Fletcher, at the printing-office on the Parade, ...	NA	NA	printed, by Robert. Fletcher, at the printing-office on the Parade, ..	1
Printed by Benjamin Mecom, at the Modern Printing-office, on Rotten-Row, ...	NA	NA	Printed by Benjamin Mecom, at the Modern Printing-office, on Rotten-Row, ..	1
printed and published every WWednesday, by John Patterson, at his printing-office, Mount Pleasant Landing (County of Westchester) where subscriptions, advertisements, communications &c. for this paper will be thankfully received	NA	NA	printed and printed every WWednesday, by John Patterson, at his printing-office, Mount Pleasant Landing (County of Westchester) where subscriptions, advertisements, communications &c. for this paper will be thankfully received	1
printed by R[oger]. Delano	NA	NA	printed by Roger. Delano	1
print]ed by Anthony Haswell	NA	NA	printed by Anthony Haswell	1
printed for M. Daniell, in King-street, ...	NA	NA	printed for M. Daniell, in King-street, ..	1
Printed by Green and Russell, opposite the Probate Office in Queen-street; ...	NA	NA	Printed by Green and Russell, opposite the Probate Office in Queen-street; ..	1
printed for J. Jones, over-against Bridewell-Bridge Black-Fryars; where advertisements are taken in	NA	NA	printed for J. Jones, over-against Bridewell-Bridge Black-Fryars; where advertisements are taken in	1
printed for Samuel Paterson, at Essex-House, in Essex-Street, in the Strand	NA	NA	printed for Samuel Paterson, at Essex-House, in Essex-Street, in the Strand	1
argraphwyd ac ar werth gan W. Minshull: ar werth-hefyd gan R. Carnes, Treffynnon; W. Edwards, Croesoswallt; O.Owens, Caernarfon; J. Ross, ac J. Daniel, Caerfyrddin; a chan bawb Llyfrwerthwyr trwy Guymru: a chan G. Sael, Rhif. 192, Strand, Llundain	NA	NA	argraphwyd ac ar werth gan W. Minshull: ar werth-hefyd gan R. Carnes, Treffynnon; W. Edwards, Croesoswallt; O.Owens, Caernarfon; J. Ross, ac J. Daniel, Caerfyrddin; a chan bawb Llyfrwerthwyr trwy Guymru: a chan G. Sael, Rhif. 192, Strand, Llundain	1
argraphwyd, ac ar werth gan T. Roberts	NA	NA	argraphwyd, ac ar werth gan T. Roberts	1
argraphwyd ac ar werth gan Daniel, a Ross; T. Evans, Machynlleth, R. Williams, Anlwch; R. Owens, Caernarvon; C. Jones, Aberystwith; T. Miles, Merthyr Tydil; R. Rees, Costell Nedd; O. Rees, Bristol; I. Owen, PIccadilly; E. Williams, Strand, London; H. Evans, Nefyn; a chan y dosparthwyr trwy Gymru	NA	NA	argraphwyd ac ar werth gan Daniel, a Ross; T. Evans, Machynlleth, R. Williams, Anlwch; R. Owens, Caernarvon; C. Jones, Aberystwith; T. Miles, Merthyr Tydil; R. Rees, Costell Nedd; O. Rees, Bristol; I. Owen, PIccadilly; E. Williams, Strand, London; H. Evans, Nefyn; a chan y dosparthwyr trwy Gymru	1
argraphwyd yn y Flwyddyn	NA	NA	argraphwyd yn y Flwyddyn	1
1793: printed by George Biggs: sold by P. Elmsly, Strand, and Mr. Chapman, East India House	NA	George Biggs: sold by P Elmsly	NA	1
printed (Tuesdays and Fridays,) by John Dixon, near the Market	NA	NA	printed (Tuesdays and Fridays,) by John Dixon, near the Market	1
... by Dixon and Holt	NA	NA	... by Dixon and Holt	1
printed by Dixon & Nicolson	NA	NA	printed by Dixon & Nicolson	1
printed by Wise & Adams	NA	NA	printed by Wise & Adams	1
printed by W. Throckmorton	NA	NA	printed by W. Throckmorton	1
printed by J. Crouse and W. Stevenson	NA	NA	printed by J. Crouse and W. Stevenson	1
printed by and for T.Luckman, near the Cross; and sold by J.Sketchley, printer and bookseller, in Birmingham; J. Poole, Hinckley; J. Ireland, Leicester; J. Heath, Nottingham; J. Roe, Derby; J. Sharpe, Warwick; and all other booksellers, both in town an country	NA	J Sketchley	NA	1
Printed for W. Hinton, near Serjeants-Inn-Gate, Fleetstreet	NA	NA	Printed for W. Hinton, near Serjeants-Inn-Gate, Fleetstreet	1
printed by J. Nicholson, next the Rose in Fleet-Lane; and may be had of the news-carriers	NA	NA	printed by J. Nicholson, next the Rose in Fleet-Lane; and may be had of the news-carriers	1
printed for the Spectator Club, in Suffolk-Street	NA	NA	printed for the Spectator Club, in Suffolk-Street	1
printed for Oliver Hill, and to be had at his house, at the lower-end of Dutchy-Lane in the Strand, the Sun in Little-Brittain, and Elthridges Coffee-House in Birchin-Lane; and B. Bragg, at the Blew-Ball in Avemary-Lane, next Ludgate-street	NA	NA	printed for Oliver Hill, and to be had at his house, at the lower-end of Dutchy-Lane in the Strand, the Sun in Little-Brittain, and Elthridges Coffee-House in Birchin-Lane; and B. Bragg, at the Blew-Ball in Avemary-Lane, next Ludgate-street	1
printed by Richard Stewart, (no. 200.) Abbey-street, within two doors of Capel-street. ...	NA	NA	printed by Richard Stewart, (no. 200.) Abbey-street, within two doors of Capel-street. ..	1
printed by W. Rayner, in Marygold-Court, near Exeter-Change in the Strand	NA	NA	printed by W. Rayner, in Marygold-Court, near Exeter-Change in the Strand	1
printed for Daniel Thibou ...	NA	NA	printed for Daniel Thibou ..	1
printed by John L. Stevenson, corner of State and Ferry Streets	NA	NA	printed by John L. Stevenson, corner of State and Ferry Streets	1
printed by Darius Moffett	NA	NA	printed by Darius Moffett	1
published (every Wednesday) by Lancelot A. Mullin	NA	NA	printed (every Wednesday) by Lancelot A. Mullin	1
printed for David Paterson the publisher, and sold by the booksellers, adn by David Pearson chapman in Culross	NA	the booksellers	NA	1
Printed by William Rayner	NA	NA	Printed by William Rayner	1
printed by Hugh and James Ramsey, booksellers, on the Quay	NA	NA	printed by Hugh and James Ramsey, booksellers, on the Quay	1
de l'imprimerie de W. et C. Spilsbury, Snow-Hill. Se trouve chez l'auteur, no. 19, Woodstock-street, Oxford-street; J. De Boffe, Gerard-street, Soho; Elmsley & Bremner, dans le Strand; T. Boosey, près de la bourse Royale; Wright, Piccadilly; Dulau, Wardour-street; L'Homme, New Bond-street; & les autres principaux libraires. Et pour le continent se trouve chez Fauche & Co. à Hambourg; &c chez les libraires de Vienne, Berlin, Francfort & chez Leipsic	NA	NA	de printed inmeimerie de W. et C. Spilsbury, Snow-Hill. Se trouve chez l'auteur, no. 19, Woodstock-street, Oxford-street; J. De Boffe, Gerard-street, Soho; Elmsley & Bremner, dans le Strand; T. Boosey, près de la bourse Royale; Wright, Piccadilly; Dulau, Wardour-street; L'Homme, New Bond-street; & les autres principaux libraires. Et pour le continent se trouve chez Fauche & Co. à Hambourg; &c chez les libraires de Vienne, Berlin, Francfort & chez Leipsic	1
printed by J. Gowan in Back-Lane	NA	NA	printed by J. Gowan in Back-Lane	1
sold by A. Baldwin in Warwick-lane	NA	NA	sold by A. Baldwin in Warwick-lane	1
published by David Paterson]	NA	NA	printed by David Paterson	1
Printed for M.Swinney and J.W. Piercy, and published by them in Birmingham and Coventry, and S. Boden in Stafford, by whom advertisements are received	NA	them	NA	1
printed for the author, and sold by Champante & Whitrow, Jewry-Street, Aldgate, & at the British Directory Office, Ave Maria Lane, St. Pauls	NA	Champante & Whitrow	NA	1
printed for Samuel Proctor in Mark-Lane, near Tower-Street, who delivers them where desired for 20 s. per annum	NA	NA	printed for Samuel Proctor in Mark-Lane, near Tower-Street, who delivers them where desired for 20 s. per annum	1
par Guillaume Du-gard	NA	NA	par Guillaume Du-gard	1
de l'imprimerie de W. et C. Spilsbury, Snow-Hill se trouve chez l'auteur, no. 19, Woodstock-street, Oxford-street; J. De Boffe, Gerard-street, Soho; Elmsley & Bremner, dans le Strand; T. Boosey, près de la bourse Royale; Wright, Piccadilly; Dulau, Wardour-street; L'Homme, New Bond-street; & les autres principaux libraires. Et pour le continent se trouve chez Fauche & Co. à Hambourg; &c chez les libraires de Vienne, Berlin, Francfort & Leipsic	NA	NA	de printed inmeimerie de W. et C. Spilsbury, Snow-Hill se trouve chez l'auteur, no. 19, Woodstock-street, Oxford-street; J. De Boffe, Gerard-street, Soho; Elmsley & Bremner, dans le Strand; T. Boosey, près de la bourse Royale; Wright, Piccadilly; Dulau, Wardour-street; L'Homme, New Bond-street; & les autres principaux libraires. Et pour le continent se trouve chez Fauche & Co. à Hambourg; &c chez les libraires de Vienne, Berlin, Francfort & Leipsic	1
Printed for J. Payne, at the Feathers in Pater-noster-Row	NA	NA	Printed for J. Payne, at the Feathers in Pater-noster-Row	1
publish'd monthly, by I. Payne, at the Feathers in Paternoster-Row	NA	NA	publish'd monthly, by I. Payne, at the Feathers in Paternoster-Row	1
printed for and sold by B.C. Collins, and by S. Crowder, in London	NA	B C Collins	NA	1
Printed and sold by T. Read in Dog-well-Court, in White-Fryars, Fleet-Street; where advertisements are taken in	NA	T Read	NA	1
J. Miller]	NA	NA	J. Miller	1
printed for the proprietors, by G. Bigg and E. Cox, and sold by John Wheble, in Ave Maria Lane,Holborn]	NA	John Wheble	NA	1
printed by W[illiam]. Wilkins at the Dolphin in Little-Britain	NA	NA	printed by William. Wilkins at the Dolphin in Little-Britain	1
printed for Henry Twyford	NA	NA	printed for Henry Twyford	1
printed for Nathaniel Storer, at the Bible and Star, in Ireland-Yard, Black-Fryers	NA	NA	printed for Nathaniel Storer, at the Bible and Star, in Ireland-Yard, Black-Fryers	1
printed for Alex. Hogg, no. 16, Paternoster-Row; and sold by all the booksellers and newsmen in Great Britain and Ireland	NA	all the booksellers and newsmen	NA	1
printed, and sold by S. Popping in Pater-Noster-Rowe	NA	S Popping	NA	1
printed and sold by Thomas Gent, in Coffee-House-Yard, over-against the Star in Stone-Gate. Where advertisements are taken in	NA	NA	printed by Thomas Gent, in Coffee-House-Yard, over-against the Star in Stone-Gate. Where advertisements are taken in	1
Thomas Gent]	NA	NA	Thomas Gent	1
printed and are to be sold by Robert Johnston in his shop at the Cross; where advertisements are taken in	NA	NA	printed and are to be sold by Robert Johnston in his shop at the Cross; where advertisements are taken in	1
printed by Nicholas Hussey on the Blind-Key, opposite the Hand and Pen, where advertisments are taken in for the Dublin news-letter	NA	NA	printed by Nicholas Hussey on the Blind-Key, opposite the Hand and Pen, where advertisments are taken in for the Dublin news-letter	1
printed for J[ames]. Roberts, in Warwick-Lane	NA	NA	printed for James. Roberts, in Warwick-Lane	1
printed by Thomas Edlin, at the Prince's-Arms over against Exeter-Exchange in the Strand	NA	NA	printed by Thomas Edlin, at the Prince's-Arms over against Exeter-excange in the Strand	1
printed by William Minns, at the corner of George and Barrington Streets, opposite the Parade	NA	NA	printed by William Minns, at the corner of George and Barrington Streets, opposite the Parade	1
printed by Hugh and James Ramsey, on the Quay; ...	NA	NA	printed by Hugh and James Ramsey, on the Quay; ..	1
printed by James Doyle, no. 46, College-green	NA	NA	printed by James Doyle, no. 46, College-green	1
... printed by Thomas Welsh, in the Irish-town, where all manner of printing work is done on most reasonable terms	NA	Thomas Welsh	NA	1
Printed by Thomson and Ferris, at their office, no. 69, Bow Bazar [sic]	NA	NA	Printed by Thomson and Ferris, at their office, no. 69, Bow Bazar sic	1
printed by Stephen Austin, in Maidenhead-Street ...	NA	NA	printed by Stephen Austin, in Maidenhead-Street ..	1
printed by William Urquhart	NA	NA	printed by William Urquhart	1
printed by A. Flaherty, in High street	NA	NA	printed by A. Flaherty, in High street	1
Printed at Sherborne by R. Goadby, and Comp. where advertisements are taken in	NA	NA	printed in Sherborne by R. Goadby, and Comp. where advertisements are taken in	1
the publication undertaken at the request of the said gentlemen, by Mr. Hogg, no. 16, Pater-noster Row	NA	NA	the publication undertaken at the request of the said gentlemen, by Mr. Hogg, no. 16, Pater-noster Row	1
printed for J. Wenman, no. 144, Fleet-street, and sold by all other booksellers, news-carriers, &c. in Great-Britain and Ireland	NA	all other booksellers	NA	1
printed by A[aron]. Rhames, at the back of Dick's-Coffee-House in Skinner-Row	NA	NA	printed by Aaron. Rhames, at the back of Dick's-Coffee-House in Skinner-Row	1
printed by Nicholas Hussey, on the Blind-Key, where advertisments are taken in for the Dublin news-letter	NA	NA	printed by Nicholas Hussey, on the Blind-Key, where advertisments are taken in for the Dublin news-letter	1
Printed by T[homas]. McDonnel, no. 50, Essex-street, opposite the Custom-house	NA	NA	Printed by Thomas. McDonnel, no. 50, Essex-street, opposite the Custom-house	1
printed by James Hoey, at the Pamphlet-shop in Skinner-Row, opposite to the Tholsel	NA	NA	printed by James Hoey, at the Pamphlet-shop in Skinner-Row, opposite to the Tholsel	1
printed by Alex. McCulloh, at his printing-office, in Cope-street; where all manner of printing work is done	NA	NA	printed by Alex. McCulloh, at his printing-office, in Cope-street; where all manner of printing work is done	1
printed [by Stephen Powell] in High-street	NA	NA	printed by Stephen Powell in High-street	1
printed for the proprietors, by Bernard Murray in Chronicle-Court, Dame-Street	NA	NA	printed for the proprietors, by Bernard Murray in Chronicle-Court, Dame-Street	1
printed by Edw[in]. Sandys, at the Custom-house Printing-house in Crane-Lane	NA	NA	printed by Edwin. Sandys, at the Custom-house Printing-house in Crane-Lane	1
printed by J. Fricker, 16, Castle-street, Holborn. Published by J. Roach, Russel-Court, Drury-Lane; and C. Chapple, Pall-Mall	NA	J Roach	NA	1
printed by Samuel Dalton, at the entrance of Darby-Swuare in Warborough-street, where all manner of printing-work is done	NA	NA	printed by Samuel Dalton, at the entrance of Darby-Swuare in Warborough-street, where all manner of printing-work is done	1
printed by John Connor, (for the proprietor.)-This paper is published at the Cork Herald-Office, Caroline-street, opposite the Post-Office, where advertisements, essays, ... are received	NA	NA	printed by John Connor, (for the proprietor.)-This paper is printed in the Cork Herald-Office, Caroline-street, opposite the Post-Office, where advertisements, essays, ... are received	1
printed by George Esmand and Comp. at the New Printing-office, in Back Church-Street	NA	NA	printed by George Esmand and Comp. at the New Printing-office, in Back Church-Street	1
printed by Charles Evans, Lawrence's-Street	NA	NA	printed by Charles Evans, Lawrence's-Street	1
Printed by John Shea, at the Lyceum, no. 42, College-Green. Where, and at J[ames]. Moore's, bookseller, 45, College-Green, communications for this paper will be received	NA	NA	Printed by John Shea, at the Lyceum, no. 42, College-Green. Where, and at James. Moore's, bookseller, 45, College-Green, communications for this paper will be received	1
prin]ted by John Busteed, in Flacks-Lane, opposite St. Peters-Church	NA	NA	printed by John Busteed, in Flacks-Lane, opposite St. Peters-Church	1
printed by E.H. Morgan, for himself and the other proprietors, at the Advertiser-Office, Patrick's-street, ...	NA	NA	printed by E.H. Morgan, for himself and the other proprietors, at the Advertiser-Office, Patrick's-street, ..	1
printed; and sold by T. Bickerton, at the Crown in Pater-Noster-Row, where letter [sic] of correspondence and advertisements are taken in	NA	T Bickerton	NA	1
printed by Eliz. Powell, at the Prince of Wales his Arms, in Black-fryar near Ludgate, where advertisements are taken in	NA	NA	printed by Eliz. Powell, at the Prince of Wales his Arms, in Black-fryar near Ludgate, where advertisements are taken in	1
Printed by D. Walker, in the High-Town	NA	NA	Printed by D. Walker, in the High-Town	1
printed for R[ichard]. Phillips, by J. Rider, no. 36, Little-Britain. Published by J. Carpenter, and Co. booksellers to His Royal Highness Field-Marshal the Duke of York, Old Bond-street; by H.D. Symonds, Paternoster-row, and by H. Colbert, Dublin	NA	J Carpenter	NA	1
published weekly by William Kersey and James Edie	NA	NA	printed weekly by William Kersey and James Edie	1
printed by Samuel Farley, at Shakespear's-Head, on the New-dock	NA	NA	printed by Samuel Farley, at Shakespear's-Head, on the New-dock	1
printed and sold by A. Baldwin, at the Oxford-Arms in Warwick-Lane	NA	NA	printed by A. Baldwin, at the Oxford-Arms in Warwick-Lane	1
printed for J. Roberts, near the Oxford-Arms in Warwick-Lane, where advertisements will be taken in	NA	NA	printed for J. Roberts, near the Oxford-Arms in Warwick-Lane, where advertisements will be taken in	1
Printed by G. and W. Routh, no. 18, in Bridge-Street; ...	NA	NA	Printed by G. and W. Routh, no. 18, in Bridge-Street; ..	1
Printed by S. Farley, in Castle-Green; where advertisements are taken in: ...	NA	NA	Printed by S. Farley, in Castle-Green; where advertisements are taken in: ..	1
printed, and are to be had of Charles Saul in Mermaid-Court, Pater-Noster-Row	NA	NA	printed, and are to be had of Charles Saul in Mermaid-Court, Pater-Noster-Row	1
printed by Nicholas Hussey, opposite the Hand and Pen on the Blind-key	NA	NA	printed by Nicholas Hussey, opposite the Hand and Pen on the Blind-key	1
printed by E[dward]. W[aters]. the back of the Blind Key	NA	NA	printed by Edward. Waters. the back of the Blind Key	1
printed for the proprietors, at the Bombay Gazette office, in Lyceum Street, where advertisements, essays and articles of intelligence will be thankfully received	NA	NA	printed for the proprietors, at the Bombay Gazette office, in Lyceum Street, where advertisements, essays and articles of intelligence will be thankfully received	1
printed by James Hoey, at the sign of Mercury in Parliament-Street	NA	NA	printed by James Hoey, at the sign of Mercury in Parliament-Street	1
printed by James Hunter, in Sycamore-Alley, near Essex-Street	NA	NA	printed by James Hunter, in Sycamore-Alley, near Essex-Street	1
printed by James Hunter, in Sycamore-Alley	NA	NA	printed by James Hunter, in Sycamore-Alley	1
printed for the proprietor, by William Waters, at the Volunteer Printing-Office, lower end of George's Street	NA	NA	printed for the proprietor, by William Waters, at the Volunteer Printing-Office, lower end of George's Street	1
Printed by N. Rollason, in High-street	NA	NA	Printed by N. Rollason, in High-street	1
John Gore, printer and publisher, at his office, east side Castle-Street, Liverpool	NA	NA	John Gore, printed and publisher, at his office, east side Castle-Street, Liverpool	1
Advertisements taken in by J[ohn]. Gore, Castle-Street, Liverpool: at Mr. W. Tayler's, no. 5, Warwick-Courts, Newgate-Street; at New Lloyd's Coffee-House; the Chapter Coffee-House, and by Mr. Johnson, no. 72, St. Paul's Church-Yard, London; Mr. Routh printer, Bristol; Mr. R. Parker, Lancaster; Mr. Ward and sons, printers, in Whitehaven; Mr. Ashburner, bookseller in Kendal; Mr. Binns, bookseller in Preston; and Mr. Riddiough, whip-maker in Ormskirk	NA	NA	Advertisements taken in by John. Gore, Castle-Street, Liverpool: at Mr. W. Tayler's, no. 5, Warwick-Courts, Newgate-Street; at New Lloyd's Coffee-House; the Chapter Coffee-House, and by Mr. Johnson, no. 72, St. Paul's Church-Yard, London; Mr. Routh printed, Bristol; Mr. R. Parker, Lancaster; Mr. Ward and sons, printed, in Whitehaven; Mr. Ashburner, bookseller in Kendal; Mr. Binns, bookseller in Preston; and Mr. Riddiough, whip-maker in Ormskirk	1
Published by the proprietor, W. Bristow, Parade, Canterbury	NA	NA	printed by the proprietor, W. Bristow, Parade, Canterbury	1
printed by John Ferrar, in Quay-lane; where printing work in all its branches is done with expedition and correctness, at the most reasonable prices	NA	NA	printed by John Ferrar, in Quay-lane; whereprinting work in all its branches is done with expedition and correctness, at the most reasonable prices	1
printed; for the author, by C. C[arter]. in Fish-shamble-street, where advertisements will be taken in	NA	NA	printed; for the author, by C. Carter. in Fish-shamble-street, where advertisements will be taken in	1
printed for Edw. Lloyd [by C. Carter]	NA	NA	printed for Edw. Lloyd by C. Carter	1
printed for and sold by B.C. Collins, and by S. Crowder in London	NA	B C Collins	NA	1
printed by Fr[ancis]. Dickson over against the Pellican in Wine-tavern-street	NA	NA	printed by Francis. Dickson over against the Pellican in Wine-tavern-street	1
printed by Thomas Humes, at the lower end of Cork-Hill	NA	NA	printed by Thomas Humes, at the lower end of Cork-Hill	1
printed for G[eorge]. Horton, living in Figg-Tree Court in Barbican	NA	NA	printed for George. Horton, living in Figg-Tree Court in Barbican	1
... chez MM. Cornut & Forestier, parfumeurs, no 5, Cambridge-Street, Golden-Square; chez M. Chuber, Jermyn-Street, vis-à vis l'Hôtel Grenier; & chez M. [Thomas] Axtell, no 1, Finch-Lane, Cornhill; ...	NA	NA	... chez MM. Cornut & Forestier, parfumeurs, no 5, Cambridge-Street, Golden-Square; chez M. Chuber, Jermyn-Street, vis-à vis l'Hôtel Grenier; & chez M. Thomas Axtell, no 1, Finch-Lane, Cornhill; ..	1
sold by J[ohn]. Morphew, near Stationers-Hall	NA	NA	sold by John. Morphew, near Stationers-Hall	1
printed by J. Mennons and Co. Brodie's Close, Lawnmarket	NA	NA	printed by J. Mennons and Co. Brodie's Close, Lawnmarket	1
printed for Harrison & Co. No. 18, Paternoster Row	NA	NA	printed for Harrison & Co. No. 18, Paternoster Row	1
printed for Harrison and Co. no 18, Paternoster Row; by whom letters to the editor are received	NA	NA	printed for Harrison and Co. no 18, Paternoster Row; by whom letters to the editor are received	1
printed by Henry Tuckniss, for Mathew Carey, no. 118, Market-Street	NA	NA	printed by Henry Tuckniss, for Mathew Carey, no. 118, Market-Street	1
Imprimé à Londres, aux fraix du propriétaire, et se vend chez Owen, libraire, Piccadilly, 168; et chez de Boffe, Gerrard-Street, no. 7. on souscrit chez l'ed̀iteur, Oxenden-Street, Haymarket, 24.	NA	NA	imprime à Londres, aux fraix du propriétaire, et se vend chez Owen, libraire, Piccadilly, 168; et chez de Boffe, Gerrard-Street, no. 7. on souscrit chez l'ed̀iteur, Oxenden-Street, Haymarket, 24	1
printed for the author; and may be had of the booksellers	NA	NA	printed for the author; and may be had of the booksellers	1
A[lexander]. Martin	NA	NA	Alexander. Martin	1
printed for Benjamin Davies, no. 68, High-street	NA	NA	printed for Benjamin Davies, no. 68, High-street	1
By Caleb P. Wayne, no. 17 Kilby Street, Boston	NA	NA	By Caleb P. Wayne, no. 17 Kilby Street, Boston	1
Published by Elijah Russel, Fryeburgh. District of Maine, Massachusetts	NA	NA	printed by Elijah Russel, Fryeburgh. District of Maine, Massachusetts	1
Printed by George Roulstone & John R. Parrington	NA	NA	Printed by George Roulstone & John R. Parrington	1
By Russel and Davis	NA	NA	By Russel and Davis	1
By Russel & Davis, Concord, New H.	NA	NA	By Russel & Davis, Concord, New H	1
printed by William Primrose Harrison and Co. No. 32, Church-Street, near the City-Theatre	NA	NA	printed by William Primrose Harrison and Co. No. 32, Church-Street, near the City-Theatre	1
